Date,Groceries,Online Shopping,Restaurants,Transportation
2023-02-21,0.0,0.0,10.37,0.0
2023-02-23,113.45,0.0,0.0,0.0
2023-02-27,0.0,0.0,3.6,0.0
2023-03-03,0.0,0.0,27.82,0.0
2023-03-06,0.0,0.0,3.07,0.0
2023-03-09,9.88,0.0,0.0,0.0
2023-03-12,0.0,0.0,0.0,39.47
2023-03-13,56.85,0.0,0.0,0.0
2023-03-18,100.0,0.0,0.0,0.0
2023-03-25,10.26,0.0,0.0,0.0
2023-03-29,0.0,0.0,3.6,0.0
2023-04-03,0.0,0.0,14.02,0.0
2023-04-05,0.0,0.0,25.74,0.0
2023-04-07,0.0,0.0,5.94,0.0
2023-04-08,0.0,0.0,0.0,4.19
2023-04-09,0.0,31.86,0.0,0.0
2023-04-10,0.0,0.0,40.0,0.0
2023-04-11,0.0,0.0,12.36,0.0
2023-04-13,16.6,0.0,21.71,0.0
2023-04-14,0.0,0.0,11.0,0.0
2023-04-16,0.0,0.0,18.99,0.0
2023-04-17,0.0,0.0,17.32,0.0
2023-04-19,0.0,0.0,10.96,0.0
2023-04-20,0.0,0.0,36.97,0.0
2023-04-21,0.0,0.0,23.22,0.0
2023-04-22,0.0,0.0,25.74,0.0
2023-04-23,0.0,0.0,89.65,0.0
2023-04-25,0.0,0.0,27.6,0.0
2023-04-26,0.0,0.0,10.38,13.57
2023-04-27,0.0,0.0,47.47,0.0
2023-04-28,0.0,0.0,3.6,0.0
2023-04-29,0.0,0.0,12.04,0.0
2023-04-30,0.0,20.0,0.0,0.0
2023-05-03,0.0,0.0,12.58,0.0
2023-05-04,0.0,0.0,12.84,0.0
2023-05-05,0.0,0.0,10.44,0.0
2023-05-07,38.7,24.0,0.0,15.26
2023-05-08,0.0,67.0,0.0,0.0
2023-05-11,0.0,0.0,15.46,0.0
2023-05-13,0.0,24.99,0.0,0.0
2023-05-14,14.58,0.0,0.0,0.0
2023-05-16,0.0,0.0,9.030000000000001,0.0
2023-05-17,0.0,0.0,38.370000000000005,0.0
2023-05-18,0.0,0.0,25.79,0.0
2023-05-19,0.0,0.0,9.52,0.0
2023-05-21,0.0,13.48,13.37,0.0
2023-05-22,0.0,0.0,19.87,0.0
2023-05-23,0.0,0.0,19.0,0.0
2023-05-24,0.0,0.0,17.27,0.0
2023-05-25,0.0,0.0,6.11,0.0
2023-05-26,0.0,0.0,23.75,0.0
2023-05-30,0.0,0.0,6.11,0.0
2023-05-31,0.0,0.0,17.8,0.0
2023-06-01,0.0,13.96,28.57,0.0
2023-06-02,0.0,0.0,23.23,0.0
2023-06-03,31.87,0.0,0.0,0.0
2023-06-04,0.0,0.0,14.44,0.0
2023-06-05,0.0,0.0,16.04,0.0
2023-06-06,0.0,0.0,6.11,0.0
2023-06-07,0.0,0.0,14.61,0.0
2023-06-08,0.0,0.0,150.74,0.0
2023-06-09,0.0,0.0,30.759999999999998,0.0
2023-06-11,8.56,0.0,0.0,0.0
2023-06-12,0.0,0.0,22.92,0.0
2023-06-14,0.0,0.0,39.94,0.0
2023-06-15,0.0,0.0,6.11,0.0
2023-06-16,21.98,0.0,18.43,0.0
2023-06-20,0.0,0.0,8.76,0.0
2023-06-22,0.0,0.0,11.66,0.0
2023-06-23,0.0,0.0,59.05,0.0
2023-06-24,0.0,0.0,18.81,0.0
2023-06-26,0.0,0.0,96.31,0.0
2023-06-27,6.99,0.0,33.64,0.0
2023-06-28,0.0,0.0,21.63,0.0
2023-06-29,0.0,0.0,26.09,0.0
2023-06-30,0.0,0.0,14.34,0.0
2023-07-02,0.0,19.99,0.0,0.0
2023-07-05,0.0,0.0,12.75,0.0
2023-07-06,0.0,0.0,19.450000000000003,0.0
2023-07-07,0.0,0.0,64.46000000000001,0.0
2023-07-08,0.0,0.0,43.36,0.0
2023-07-10,0.0,0.0,2.66,0.0
2023-07-11,0.0,0.0,35.15,0.0
2023-07-12,0.0,0.0,14.61,0.0
2023-07-13,0.0,0.0,14.92,0.0
2023-07-14,0.0,2.43,12.75,0.0
2023-07-15,0.0,0.0,3.72,0.0
2023-07-17,48.96,0.0,18.38,0.0
2023-07-18,0.0,0.0,8.5,0.0
2023-07-19,0.0,0.0,23.950000000000003,0.0
2023-07-20,0.0,0.0,12.22,0.0
2023-07-21,19.98,0.0,39.21,0.0
2023-07-22,3.48,0.0,153.13,0.0
2023-07-23,0.0,0.0,19.42,0.0
2023-07-24,33.32,0.0,0.0,0.0
2023-07-25,0.0,0.0,10.63,0.0
2023-07-26,0.0,0.0,31.880000000000003,0.0
2023-07-27,0.0,0.0,32.74,0.0
2023-07-28,3.49,0.0,21.55,0.0
2023-07-29,0.0,0.0,5.5,0.0
2023-07-30,0.0,2.84,4.970000000000001,0.0
2023-07-31,0.0,0.0,90.77,0.0
2023-08-01,0.0,0.0,22.42,0.0
2023-08-02,0.0,0.0,36.69,0.0
2023-08-03,0.0,199.99,13.02,0.0
2023-08-04,15.99,11.49,13.959999999999999,0.0
2023-08-05,0.0,0.0,19.8,0.0
2023-08-10,0.0,0.0,3.75,0.0
2023-08-12,0.0,0.0,6.9,0.0
2023-08-13,6.0,0.0,0.0,0.0
2023-08-16,102.05,50.48,32.8,0.0
2023-08-18,25.64,0.0,2.89,0.0
2023-08-20,0.0,0.0,16.65,0.0
2023-08-22,0.0,0.0,9.97,6.58
2023-08-27,46.62,39.69,0.0,0.0
2023-08-28,90.61,0.0,72.66,0.0
2023-08-29,0.0,9.09,4.95,0.0
2023-09-01,201.26999999999998,0.0,0.0,0.0
2023-09-04,0.0,0.0,10.04,0.0
2023-09-06,0.0,0.0,11.36,0.0
2023-09-07,0.0,0.0,9.34,0.0
2023-09-12,0.0,0.0,4.0,0.0
2023-09-14,0.0,0.0,5.13,0.0
2023-09-15,0.0,85.89,19.759999999999998,0.0
2023-09-16,6.75,0.0,17.22,0.0
2023-09-18,0.0,0.0,3.4,0.0
2023-09-20,0.0,159.0,0.0,0.0
2023-09-21,0.0,74.84,0.0,0.0
2023-09-27,89.86,0.0,12.95,0.0
2023-09-29,5.67,0.0,0.0,0.0
2023-10-06,0.0,0.0,0.0,19.38
2023-10-14,0.0,31.31,0.0,0.0
2023-10-22,0.0,20.0,0.0,0.0
2023-10-23,0.0,94.97,0.0,0.0
2023-10-26,0.0,355.81,0.0,0.0
2023-11-04,0.0,16.95,0.0,0.0
2023-11-20,0.0,1849.0,0.0,0.0
2023-11-21,0.0,20.0,0.0,0.0
2023-11-22,0.0,0.0,0.0,14.24
2023-11-28,0.0,377.1,0.0,0.0
2023-11-30,0.0,0.0,9.02,0.0
2023-12-04,0.0,16.95,0.0,0.0
2023-12-09,0.0,0.0,11.64,0.0
2023-12-17,0.0,0.0,0.0,6.6
2023-12-21,28.75,20.0,0.75,10.1
2023-12-22,0.0,0.0,0.0,10.06
2024-01-10,245.63,0.0,5.9,0.0
2024-01-12,0.0,0.0,2.26,0.0
2024-01-14,0.0,0.0,11.87,0.0
2024-01-15,7.94,0.0,15.06,0.0
2024-01-17,0.0,0.0,5.18,0.0
2024-01-19,0.0,0.0,2.75,0.0
2024-01-21,0.0,20.0,0.0,0.0
2024-01-22,0.0,0.0,15.21,0.0
2024-01-23,0.0,0.0,13.49,0.0
2024-01-24,6.75,0.0,10.37,0.0
2024-01-25,0.0,0.0,31.14,0.0
2024-01-27,0.0,0.0,4.31,0.0
2024-01-28,0.0,27.0,17.25,0.0
2024-01-31,0.0,33.47,0.0,0.0
2024-02-01,0.0,0.0,5.13,0.0
2024-02-02,0.0,0.0,11.87,0.0
2024-02-03,0.0,0.0,16.39,0.0
2024-02-05,0.0,16.95,0.0,0.0
2024-02-06,0.0,0.0,10.48,0.0
2024-02-07,0.0,12.61,3.4,0.0
2024-02-10,0.0,0.0,12.89,0.0
2024-02-15,0.0,0.0,11.56,0.0
